id,name,oscar,highest,lowest,birth,place,movie1_title,movie1_tomato,movie1_audience,movie1_release,movie1_director,movie2_title,movie2_tomato,movie2_audience,movie2_release,movie2_director,movie3_title,movie3_tomato,movie3_audience,movie3_release,movie3_director,movie4_title,movie4_tomato,movie4_audience,movie4_release,movie4_director,movie5_title,movie5_tomato,movie5_audience,movie5_release,movie5_director,movie6_title,movie6_tomato,movie6_audience,movie6_release,movie6_director,movie7_title,movie7_tomato,movie7_audience,movie7_release,movie7_director,movie8_title,movie8_tomato,movie8_audience,movie8_release,movie8_director,movie9_title,movie9_tomato,movie9_audience,movie9_release,movie9_director,movie10_title,movie10_tomato,movie10_audience,movie10_release,movie10_director
11,Ingrid Bergman, Won 3 Oscars., Theremin: An Electronic Odyssey (1994), Under Capricorn (1949)," Aug 29, 1915"," Stockholm, Sweden", Indiscreet,100,69,1958, Stanley Donen, Intermezzo,100,67,1939, Gregory Ratoff, The Inn of the Sixth Happiness,100,84,1958, Mark Robson, Theremin: An Electronic Odyssey,100,70,1994, Steven M. Martin, Casablanca,99,95,1942, Michael Curtiz, Notorious,98,91,1946, Alfred Hitchcock, Voyage to Italy,96,76,1953, Roberto Rossellini, Liv & Ingmar,93,80,2012, Dheeraj Akolkar, Anastasia,92,78,1956, Anatole Litvak, Murder on the Orient Express,90,79,1974, Sidney Lumet
12,Tom Hanks, Won 2 Oscars., Toy Story 2 (1999), My Life in Ruins (2009)," Jul 09, 1956"," Concord, California, USA", California Typewriter,100,84,2016, Doug Nichol, Everything Is Copy,100,75,2015, Jacob Bernstein, Return With Honor,100,79,1998, Freida Lee Mock, Toy Story,100,92,1995, John Lasseter, Toy Story 2,100,87,1999, Ash Brannon, Two Who Dared: The Sharp's War,100,73,2016, Artemis Joukowsky, Toy Story 3,98,90,2010, Lee Unkrich, Big,97,82,1988, Penny Marshall, The Celluloid Closet,97,89,1996, Rob Epstein, Toy Story 4,97,94,2019, Josh Cooley
13,Elizabeth Taylor, Won 2 Oscars., National Velvet (1944), Conspirator (1949)," Feb 27, 1932"," Hampstead, London, England, UK", Father's Little Dividend,100,61,1951, Vincente Minnelli, Jane Eyre,100,83,1944, Robert Stevenson, National Velvet,100,78,1944, Clarence Brown, Cat on a Hot Tin Roof,97,92,1958, Richard Brooks, Who's Afraid of Virginia Woolf?,95,91,1966, Mike Nichols, Lassie Come Home,94,76,1943, Fred M. Wilcox, Giant,93,87,1956, George Stevens, Life With Father,92,78,1947, Michael Curtiz, Father of the Bride,90,74,1950, Vincente Minnelli, The Last Time I Saw Paris,88,50,1954, Richard Brooks
14,Bette Davis, Won 2 Oscars., The Petrified Forest (1936), The Catered Affair (1956)," Apr 05, 1908"," Lowell, Massachusetts, USA", Bordertown,100,38,1935, Archie Mayo, Dead Ringer,100,80,1964, Paul Henreid, Kid Galahad,100,68,1937, Michael Curtiz, Marked Woman,100,70,1937, Lloyd Bacon, The Letter,100,82,1940, William Wyler, The Petrified Forest,100,79,1936, Archie Mayo, All About Eve,99,94,1950, Joseph L. Mankiewicz, Jezebel,95,82,1938, William Wyler," Now, Voyager",93,91,1942, Irving Rapper, What Ever Happened to Baby Jane?,92,92,1962, Not Available
15,Gregory Peck, Won 1 Oscar., The World in His Arms (1952), Shootout (1971)," Apr 05, 1916"," La Jolla, California, USA", Captain Horatio Hornblower,100,78,1951, Raoul Walsh, The Big Country,100,90,1958, William Wyler, The Bravados,100,67,1958, Henry King, The Gunfighter,100,89,1950, Henry King, The World in His Arms,100,58,1952, Raoul Walsh, The Yearling,100,76,1946, Clarence Brown, Roman Holiday,97,93,1953, William Wyler, Cape Fear,96,86,1962, J. Lee Thompson, Twelve O'Clock High,96,87,1949, Henry King, The Guns of Navarone,92,86,1961, J. Lee Thompson
16,Leonardo DiCaprio, Won 1 Oscar., Catch Me if You Can (2002), Delirium (2018)," Nov 11, 1974"," Hollywood, California, USA", Catch Me if You Can,96,89,2002, Steven Spielberg, Sea of Shadows,94,100,2019, Richard Ladkani, Spielberg,92,90,2017, Susan Lacy, Ice on Fire,90,67,2019, Leila Conners, The Departed,90,94,2006, Martin Scorsese, What's Eating Gilbert Grape,90,89,1993, Lasse Hallström, Titanic,89,69,1997, James Cameron, Hubble,88,86,2010, Toni Myers, Django Unchained,87,91,2012, Quentin Tarantino, Inception,87,91,2010, Christopher Nolan
17,Cate Blanchett, Won 2 Oscars., Journey to the South Pacific (2013), The Monuments Men (2014)," May 14, 1969"," Melbourne, Victoria, Australia", Jill Bilcock: Dancing the Invisible,100,Not Available,2017, Axel Grigor, Journey to the South Pacific,100,71,2013, Greg MacGillivray, The Lord of the Rings: The Two Towers,95,95,2002, Peter Jackson, Carol,94,74,2015, Todd Haynes, The Lord of the Rings: The Return of the King,93,86,2003, Peter Jackson, Thor: Ragnarok,93,87,2017, Taika Waititi, How to Train Your Dragon 2,92,90,2014, Dean DeBlois, Ponyo,91,83,2008, Hayao Miyazaki, The Lord of the Rings: The Fellowship of the Ring,91,95,2001, Peter Jackson, Blue Jasmine,90,77,2013, Woody Allen
18,Audrey Hepburn, Won 1 Oscar., The Lavender Hill Mob (1951), Laughter in Paradise (1951)," May 04, 1929"," Ixelles, Belgium", How to Steal a Million,100,88,1966, William Wyler, The Lavender Hill Mob,100,86,1951, Charles Crichton, Roman Holiday,97,93,1953, William Wyler, Wait Until Dark,96,91,1967, Terence Young, My Fair Lady,95,90,1964, George Cukor, Charade,94,92,1963, Stanley Donen, Sabrina,93,89,1954, Billy Wilder, Breakfast at Tiffany's,89,91,1961, Blake Edwards, Love in the Afternoon,88,78,1957, Billy Wilder, The Nun's Story,88,82,1959, Fred Zinnemann
19,Spencer Tracy, Won 2 Oscars., Desk Set (1957), The Sea of Grass (1947)," Apr 05, 1900"," Milwaukee, Wisconsin, USA", Desk Set,100,83,1957, Walter Lang, Father's Little Dividend,100,61,1951, Vincente Minnelli, Fury,100,88,1936, Fritz Lang, Northwest Passage,100,68,1940, King Vidor, The Seventh Cross,100,70,1944, Fred Zinnemann, Thirty Seconds Over Tokyo,100,75,1944, Mervyn LeRoy, Bad Day at Black Rock,97,88,1955, John Sturges, Adam's Rib,96,86,1949, George Cukor, Captains Courageous,94,89,1937, Victor Fleming, Broken Lance,92,60,1954, Edward Dmytryk
20,Kate Winslet, Won 1 Oscar., Sense and Sensibility (1995), Movie 43 (2013)," Oct 05, 1975"," Reading, Berkshire, England, UK", Sense and Sensibility,97,90,1995, Ang Lee, Hamlet,95,90,1996, Kenneth Branagh, Eternal Sunshine of the Spotless Mind,92,94,2004, Michel Gondry, Heavenly Creatures,92,83,1994, Peter Jackson, Deep Sea,91,79,2006, Howard Hall, Mary and The Witch's Flower,89,71,2017, Hiromasa Yonebayashi, Titanic,89,69,1997, James Cameron, Contagion,85,63,2011, Steven Soderbergh, Steve Jobs,85,73,2015, Danny Boyle, Finding Neverland,83,87,2004, Marc Forster
21,Shah Rukh Khan, No Significant Award Wins or Nominations., Happiness and Tears (2001), Jab Harry Met Sejal (2017)," Nov 02, 1965"," New Delhi, India", Asoka,100,69,2001, Santosh Sivan, Happiness and Tears,100,88,2001, Karan Johar, Chak De India,94,92,2007, Shimit Amin, Veer-Zaara,92,88,2004, Yash Chopra, As Long As I Live,89,67,2012, Yash Chopra, Devdas,89,88,2002, Sanjay Leela Bhansali, My Name Is Khan,85,83,2010, Karan Johar, Swades,83,91,2004, Ashutosh Gowariker, Fan,79,77,2016, Maneesh Sharma, Om Shanti Om,76,77,2007, Farah Khan
22,Viola Davis, Won 1 Oscar., Giving Voice (2020), The Architect (2006)," Aug 11, 1965"," Saint Matthews, South Carolina, USA", Emanuel,100,98,2019, Brian Ivie, Giving Voice,100,92,2020, James D. Stern, Ma Rainey's Black Bottom,98,74,2020, George C. Wolfe, Fences,92,75,2016, Denzel Washington, Widows,91,61,2018, Steve McQueen, Far From Heaven,87,80,2002, Todd Haynes, State of Play,84,73,2009, Kevin Macdonald, Prisoners,81,87,2013, Denis Villeneuve, Get On Up,80,68,2014, Tate Taylor, Doubt,79,78,2008, John Patrick Shanley
23,Sophia Loren, Won 1 Oscar., A Special Day (1977), It Started in Naples (1960)," Sep 20, 1934"," Rome, Lazio, Italy", A Special Day,100,92,1977, Ettore Scola, The Fall of the Roman Empire,100,68,1964, Anthony Mann, El Cid,92,78,1961, Anthony Mann, The Life Ahead,92,76,2020, Edoardo Ponti, Two Women,88,92,1960, Vittorio De Sica, Marriage Italian Style,80,84,1964, Vittorio De Sica," Yesterday, Today and Tomorrow",78,81,1964, Vittorio De Sica, Operation Crossbow,71,55,1965, Michael Anderson, Arabesque,69,55,1966, Stanley Donen, Houseboat,64,72,1958, Melville Shavelson
24,Cary Grant, Nominated for 2 Oscars., In Name Only (1939), The Pride and the Passion (1957)," Jan 18, 1904"," Bristol, England, UK", Holiday,100,89,1938, George Cukor, In Name Only,100,74,1939, John Cromwell, Indiscreet,100,69,1958, Stanley Donen, Mr. Lucky,100,70,1943, H. C. Potter, Only Angels Have Wings,100,82,1939, Howard Hawks, People Will Talk,100,79,1951, Joseph L. Mankiewicz, The Philadelphia Story,100,93,1940, George Cukor, North by Northwest,99,94,1959, Alfred Hitchcock, His Girl Friday,98,90,1940, Howard Hawks, Notorious,98,91,1946, Alfred Hitchcock
25,Vivien Leigh, Won 2 Oscars., That Hamilton Woman (1941), The Roman Spring of Mrs. Stone (1961)," Nov 05, 1913"," Darjeeling, West Bengal, British India", That Hamilton Woman,100,83,1941, Alexander Korda, A Streetcar Named Desire,98,90,1951, Elia Kazan, Gone With the Wind,91,92,1939, Victor Fleming, Waterloo Bridge,80,88,1940, Mervyn LeRoy, Ship of Fools,72,78,1965, Stanley Kramer, 21 Days Together,Not Available,39,1939, Basil Dean, A Yank at Oxford,Not Available,49,1938, Jack Conway, Anna Karenina,Not Available,60,1948, Julien Duvivier, Caesar and Cleopatra,Not Available,56,1945, Gabriel Pascal, Dark Journey,Not Available,40,1937, Victor Saville
26,Marilyn Monroe, Won 1 Golden Globe., Don't Bother to Knock (1952), River of No Return (1954)," Jun 01, 1926"," Los Angeles, California, USA", Don't Bother to Knock,100,76,1952, Roy Ward Baker, All About Eve,99,94,1950, Joseph L. Mankiewicz, Gentlemen Prefer Blondes,98,83,1953, Howard Hawks, The Asphalt Jungle,97,87,1950, John Huston, The Misfits,97,78,1961, John Huston, Some Like It Hot,95,94,1959, Billy Wilder, Monkey Business,88,67,1952, Howard Hawks, The Seven Year Itch,87,76,1955, Billy Wilder, How to Marry a Millionaire,84,78,1953, Jean Negulesco, Niagara,80,68,1953, Henry Hathaway
27,Laurence Olivier, Won 1 Oscar., Pride and Prejudice (1940), Inchon! (1981)," May 22, 1907"," Dorking, England, UK", Henry V,100,75,1945, Laurence Olivier, Khartoum,100,65,1966, Basil Dearden, Pride and Prejudice,100,77,1940, Robert Z. Leonard, Rebecca,100,92,1940, Alfred Hitchcock, That Hamilton Woman,100,83,1941, Alexander Korda, The War Requiem,100,62,1988, Derek Jarman, Sleuth,96,90,1972, Joseph L. Mankiewicz, Wuthering Heights,96,85,1939, William Wyler, Hamlet,95,80,1948, Laurence Olivier, Spartacus,93,87,1960, Stanley Kubrick
28,James Stewart, Won 1 Oscar., Bend of the River (1952), On Our Merry Way (1948)," May 20, 1908"," Indiana, Pennsylvania, USA", After the Thin Man,100,90,1936, W. S. Van Dyke, Anatomy of a Murder,100,90,1959, Otto Preminger, Bend of the River,100,79,1952, Anthony Mann, Shenandoah,100,79,1965, Andrew V. McLaglen, The Far Country,100,76,1955, Anthony Mann, The Man From Laramie,100,79,1955, Anthony Mann, The Mortal Storm,100,85,1940, Frank Borzage, The Naked Spur,100,75,1953, Anthony Mann, The Philadelphia Story,100,93,1940, George Cukor, The Shop Around the Corner,100,91,1940, Ernst Lubitsch
29,Steve McQueen, Nominated for 1 Oscar., Bullitt (1968), Never So Few (1959)," Mar 24, 1930"," Beech Grove, Indiana, USA", Bullitt,98,85,1968, Peter Yates, The Great Escape,94,95,1963, John Sturges, Junior Bonner,92,63,1972, Sam Peckinpah, The Magnificent Seven,89,87,1960, John Sturges, The Sand Pebbles,89,88,1966, Robert Wise, Hell Is for Heroes,86,74,1962, Don Siegel, The Getaway,86,81,1972, Sam Peckinpah, On Any Sunday,83,85,1971, Bruce Brown, Somebody Up There Likes Me,83,86,1956, Robert Wise, Tom Horn,83,70,1980, William Wiard
30,Halle Berry, Won 1 Oscar., Lost in America (2020), Dark Tide (2012)," Aug 14, 1966"," Cleveland, Ohio, USA", Lost in America,100,90,2020, Rotimi Rainwater, X-Men: Days of Future Past,90,91,2014, Bryan Singer, John Wick: Chapter 3 -- Parabellum,89,86,2019, Chad Stahelski, Monster's Ball,85,67,2001, Marc Forster, X2,85,85,2003, Bryan Singer, Introducing Dorothy Dandridge,83,80,1999, Martha Coolidge, X-Men,82,83,2000, Bryan Singer, Jungle Fever,81,67,1991, Spike Lee, Bulworth,76,68,1998, Warren Beatty, Kevin Hart: What Now?,76,58,2016, Leslie Small
31,Julia Roberts, Won 1 Oscar., The Normal Heart (2014), Mother's Day (2016)," Oct 28, 1967"," Smyrna, Georgia, USA", The Normal Heart,94,88,2014, Ryan Murphy, Tell Them Who You Are,88,66,2004, Mark Wexler, Wonder,86,88,2017, Stephen Chbosky, Erin Brockovich,84,81,2000, Steven Soderbergh, Notting Hill,83,79,1999, Roger Michell, Ocean's Eleven,83,80,2001, Steven Soderbergh, Ben Is Back,82,69,2018, Peter Hedges, Charlie Wilson's War,82,73,2007, Mike Nichols, Kit Kittredge: An American Girl,80,69,2008, Patricia Rozema, Confessions of a Dangerous Mind,79,75,2002, George Clooney
32,Bruce Lee, No Significant Award Wins or Nominations., Enter the Dragon (1973), Game of Death (1979)," Nov 27, 1940"," San Francisco, California, USA", Enter the Dragon,95,92,1973, Robert Clouse, Return of the Dragon,86,86,1972, Bruce Lee, The Chinese Connection,83,83,1972, Lo Wei, Marlowe,71,50,1969, Paul Bogart, Fists of Fury,69,73,1971, Lo Wei, Game of Death,46,63,1979, Robert Clouse, Bruce Lee - A Warrior's Journey,Not Available,90,2000, John Little, Bruce Lee: Curse of the Dragon,Not Available,77,1993, Fred Weintraub, Bruce Lee: The Legend,Not Available,73,1984, Leonard Ho, Game of Death 2,Not Available,33,1981, Ng Sze Yuen
33,Jodie Foster, Won 2 Oscars., Taxi Driver (1976), Siesta (1987)," Nov 19, 1962"," Los Angeles, California, USA", Taxi Driver,96,93,1976, Martin Scorsese, The Silence of the Lambs,96,95,1991, Jonathan Demme, Be Natural: The Untold Story of Alice Guy-Blaché,95,97,2018, Pamela B. Green, The Little Girl Who Lives Down the Lane,93,75,1976, Nicolas Gessner, The Accused,91,79,1988, Jonathan Kaplan, Alice Doesn't Live Here Anymore,88,82,1974, Martin Scorsese, Inside Man,86,85,2006, Spike Lee, Bugsy Malone,83,80,1976, Alan Parker, A Very Long Engagement,78,85,2004, Jean-Pierre Jeunet, Five Corners,78,54,1987, Tony Bill
34,Judy Garland, Nominated for 2 Oscars., Till the Clouds Roll By (1946), Words and Music (1948)," Jun 10, 1922"," Grand Rapids, Minnesota, USA", Broadway Melody of 1938,100,60,1937, Roy Del Ruth, For Me and My Gal,100,83,1942, Busby Berkeley, Girl Crazy,100,74,1943, Norman Taurog, I Could Go on Singing,100,76,1963, Ronald Neame, Meet Me in St. Louis,100,87,1944, Vincente Minnelli, Summer Stock,100,83,1950, Charles Walters, The Clock,100,82,1945, Vincente Minnelli, The Harvey Girls,100,82,1946, George Sidney, Till the Clouds Roll By,100,49,1946, Richard Whorf, A Star Is Born,98,81,1954, George Cukor
35,Henry Fonda, Won 1 Oscar., My Name Is Nobody (1973), Tentacles (1977)," May 16, 1905"," Grand Island, Nebraska, USA", 12 Angry Men,100,97,1957, Sidney Lumet, Daisy Kenyon,100,59,1947, Otto Preminger, Fort Apache,100,83,1948, John Ford, My Darling Clementine,100,86,1946, John Ford, My Name Is Nobody,100,84,1973, Tonino Valerii, Sometimes a Great Notion,100,76,1970, Paul Newman, The Best Man,100,89,1964, Franklin J. Schaffner, The Grapes of Wrath,100,88,1940, John Ford, The Lady Eve,100,87,1941, Preston Sturges, You Only Live Once,100,78,1937, Fritz Lang
36,Morgan Freeman, Won 1 Oscar., The C Word (2016), The Contract (2006)," Jun 01, 1937"," Memphis, Tennessee, USA", March of the Penguins 2: The Call,100,85,2017, Luc Jacquet, Meeting the Beatles in India,100,Not Available,2020, Paul Saltzman, Rita Moreno: Just a Girl Who Decided to Go For It,100,Not Available,2021, Mariem Pérez Riera, The C Word,100,92,2016, Meghan O'Hara, Born to Be Wild,98,84,2011, David Lickley, The LEGO Movie,96,87,2014, Phil Lord, Unforgiven,96,93,1992, Clint Eastwood, Gone Baby Gone,94,86,2007, Ben Affleck, March of the Penguins,94,81,2005, Luc Jacquet, The Dark Knight,94,94,2008, Christopher Nolan
37,Catherine Deneuve, Nominated for 1 Oscar., The Umbrellas of Cherbourg (1964), The Musketeer (2001)," Oct 22, 1943"," Paris, France", The Umbrellas of Cherbourg,99,87,1964, Jacques Demy, The Young Girls of Rochefort,98,84,1967, Jacques Demy, Tristana,97,83,1970, Luis Buñuel, I'm Going Home,96,68,2001, Manoel de Oliveira, Persepolis,96,92,2007, Vincent Paronnaud, Beauty of the Day,95,86,1967, Luis Buñuel, Repulsion,95,86,1965, Roman Polanski, Claire Darling (La dernière folie de Claire Darling),93,44,2018, Julie Bertuccelli, My Favorite Season,93,80,1993, André Téchiné, Roman Polanski: A Film Memoir,91,76,2011, Laurent Bouzereau
38,Grace Kelly, Won 1 Oscar., Rear Window (1954), Weekend of a Champion (1972)," Nov 12, 1929"," Philadelphia, Pennsylvania, USA", High Noon,97,89,1952, Fred Zinnemann, Rear Window,97,95,1954, Alfred Hitchcock, To Catch a Thief,96,84,1955, Alfred Hitchcock, Dial M for Murder,89,92,1954, Alfred Hitchcock, The Country Girl,86,77,1954, George Seaton, Fourteen Hours,83,74,1951, Henry Hathaway, High Society,83,82,1956, Charles Walters, The Bridges at Toko-Ri,80,61,1954, Mark Robson, Mogambo,77,55,1953, John Ford, Weekend of a Champion,73,75,1972, Frank Simon
39,Helen Mirren, Won 1 Oscar., Cries From Syria (2017)," Berlin, I Love You (2019)"," Jul 26, 1945"," Chiswick, London, England, UK", #AnneFrank. Parallel Stories,100,Not Available,2019, Sabina Fedeli, Age of Consent,100,51,1969, Michael Powell, Cries From Syria,100,91,2017, Evgeny Afineevsky, The Duke,100,Not Available,2020, Roger Michell, The Long Good Friday,96,89,1980, John Mackenzie, The Queen,96,76,2006, Stephen Frears, Eye in the Sky,94,82,2015, Gavin Hood, The Madness of King George,93,80,1994, Nicholas Hytner, Cal,91,77,1984, Pat O'Connor, Gosford Park,86,78,2001, Robert Altman
40,James Cagney, Won 1 Oscar., Footlight Parade (1933), Johnny Come Lately (1943)," Jul 17, 1899"," New York, New York, USA", Angels With Dirty Faces,100,92,1938, Michael Curtiz, Captains of the Clouds,100,47,1942, Michael Curtiz, Ceiling Zero,100,70,1935, Howard Hawks, Footlight Parade,100,83,1933, Lloyd Bacon, The Public Enemy,100,84,1931, William A. Wellman, The Roaring Twenties,100,89,1939, Raoul Walsh, The Strawberry Blonde,100,73,1941, Raoul Walsh, White Heat,97,93,1949, Raoul Walsh, Mister Roberts,92,84,1955, John Ford, Ragtime,92,77,1981, Milos Forman
41,Angela Bassett, Nominated for 1 Oscar., Passion Fish (1992), Survivor (2015)," Aug 16, 1958"," New York, New York, USA", Passion Fish,100,82,1992, John Sayles, Mission: Impossible -- Fallout,97,88,2018, Christopher McQuarrie, Black Panther,96,79,2018, Ryan Coogler, Boyz N the Hood,96,93,1991, John Singleton, What's Love Got to Do With It,96,88,1993, Brian Gibson, Between the World and Me,95,67,2020, Kamilah Forbes, Soul,95,88,2020, Pete Docter, City of Hope,94,82,1991, John Sayles, Tina,91,93,2021, Dan Lindsay, Bumblebee,90,74,2018, Travis Knight
42,Johnny Depp, Nominated for 3 Oscars., Crock of Gold: A Few Rounds With Shane MacGowan (2020), The Professor (2018)," Jun 09, 1963"," Owensboro, Kentucky, USA", Crock of Gold: A Few Rounds With Shane MacGowan,96,95,2020, Julien Temple, West of Memphis,95,87,2012, Amy Berg, A Nightmare on Elm Street,94,84,1984, Wes Craven, Hugo,93,78,2011, Martin Scorsese, Ed Wood,92,88,1994, Tim Burton, Deep Sea,91,79,2006, Howard Hall, Edward Scissorhands,90,91,1990, Tim Burton, What's Eating Gilbert Grape,90,89,1993, Lasse Hallström, Donnie Brasco,88,89,1997, Mike Newell, Rango,88,69,2011, Gore Verbinski
